Genome,World-wide Prevalence,World-wide Abundance,Hadza Prevalence,Hadza Abundance,Hunter-gatherer Lifestyle Prevalence,Hunter-gatherer Lifestyle Abundance,Transitional lifestyle prevalence,Transitional Lifestyle Abundance,Industrial Lifestyle Prevalence,Industrial Lifestyle Abundance,GTDB Taxonomy,Phylum,Species name,New species compared to UHGG?,P-value?,#NAME?,Change in prevalence,Percentile Rank,Special Taxa?
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_J_9_1548.96.fa,0.093333333,2.58E-06,0.777777778,3.57E-06,0.498127341,3.03E-06,0.058319039,8.93E-07,0.001052632,9.08E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__,Firmicutes_A,Faecalibacterium sp.,TRUE,3.61E-117,116.4427881,-0.776725146,99.47411003,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_B_5_1598.152.fa,0.061111111,4.15E-06,0.762962963,4.37E-06,0.404494382,4.21E-06,0.003430532,8.51E-07,0,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__,Firmicutes,Holdemanella sp.,TRUE,3.41E-116,115.4674521,-0.762962963,99.43365696,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_C_20_1180.258.fa,0.067777778,5.37E-06,0.755555556,5.82E-06,0.419475655,5.48E-06,0.017152659,4.06E-06,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__,Firmicutes_A,Agathobacter sp.,TRUE,1.02E-114,113.9934125,-0.755555556,99.39320388,VANISH
GUT_GENOME229203.fna,0.363333333,9.36E-06,0.933333333,9.58E-06,0.797752809,8.57E-06,0.679245283,1.02E-05,0.047368421,5.83E-06,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__,Bacteroidota,Prevotella sp.,FALSE,1.38E-113,112.8591614,-0.885964912,99.35275081,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_G_7_1734.107.fa,0.06,2.25E-06,0.748148148,2.35E-06,0.397003745,2.27E-06,0.003430532,9.59E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_A;s__,Firmicutes_A,Ruminococcus_A sp.,TRUE,2.94E-113,112.5318963,-0.748148148,99.31229773,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_K_1_2479.126.fa,0.252777778,1.20E-05,0.814814815,1.54E-05,0.674157303,1.26E-05,0.454545455,1.19E-05,0.010526316,5.59E-06,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__,Bacteroidota,Prevotella sp.,FALSE,6.01E-113,112.2209861,-0.804288499,99.25161812,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_K_2_2358.190.fa,0.076111111,1.52E-06,0.814814815,1.70E-06,0.426966292,1.66E-06,0.022298456,6.40E-07,0.010526316,9.56E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__,Firmicutes_A,Bariatricus sp.,FALSE,6.01E-113,112.2209861,-0.804288499,99.25161812,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_J_6_2308.13.fa,0.187222222,2.41E-06,0.814814815,3.58E-06,0.546816479,3.07E-06,0.308747856,1.68E-06,0.011578947,5.65E-06,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp000434735,Bacteroidota,Phocaeicola sp000434735,FALSE,6.44E-112,111.1908875,-0.803235867,99.19093851,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_19_1040.98.fa,0.117777778,3.89E-06,0.740740741,4.66E-06,0.509363296,4.02E-06,0.130360206,3.65E-06,0,,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900551335,Firmicutes_C,Phascolarctobacterium_A sp900551335,FALSE,8.27E-112,111.0825281,-0.740740741,99.11003236,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_I_3_1743.85.fa,0.059444444,2.81E-06,0.740740741,2.95E-06,0.397003745,2.82E-06,0.001715266,1.31E-06,0,,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_E;s__,Actinobacteriota,Olsenella_E sp.,TRUE,8.27E-112,111.0825281,-0.740740741,99.11003236,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_K_13_1776.157.fa,0.056666667,1.52E-06,0.740740741,1.54E-06,0.378277154,1.53E-06,0.001715266,9.24E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia;s__,Firmicutes_A,Marvinbryantia sp.,TRUE,8.27E-112,111.0825281,-0.740740741,99.11003236,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_P_22_2354.19.fa,0.327777778,1.33E-05,0.925925926,2.19E-05,0.715355805,1.75E-05,0.607204117,1.15E-05,0.047368421,8.94E-06,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900551985,Bacteroidota,Prevotella sp900551985,FALSE,9.33E-112,111.030182,-0.878557505,99.02912621,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_10_1530.130.fa,0.067777778,1.86E-06,0.777777778,2.03E-06,0.423220974,1.92E-06,0.006861063,1.32E-06,0.005263158,8.54E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__,Firmicutes_A,Blautia_A sp.,TRUE,3.68E-111,110.4339724,-0.77251462,98.98867314,VANISH
GUT_GENOME024514.fna,0.150555556,4.64E-06,0.792592593,7.67E-06,0.520599251,6.69E-06,0.212692967,2.55E-06,0.008421053,1.49E-06,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372;s__UBA4372 sp900543815,Bacteroidota,UBA4372 sp900543815,FALSE,1.49E-110,109.8256003,-0.78417154,98.94822006,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_O_4_1196.321.fa,0.122222222,1.45E-06,0.748148148,2.07E-06,0.543071161,1.86E-06,0.125214408,6.67E-07,0.002105263,3.04E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp004555405,Firmicutes_A,Gemmiger sp004555405,FALSE,1.44E-109,108.8417426,-0.746042885,98.90776699,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_F_2_2205.145.fa,0.1,2.10E-06,0.733333333,2.88E-06,0.498127341,2.44E-06,0.07890223,1.14E-06,0.001052632,1.34E-06,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__,Firmicutes_A,Faecalibacterium sp.,TRUE,2.18E-108,107.6609425,-0.732280702,98.86731392,VANISH
GUT_GENOME128517.fna,0.232222222,8.42E-06,0.762962963,8.47E-06,0.588014981,8.55E-06,0.439108062,8.35E-06,0.005263158,8.23E-06,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900290275,Bacteroidota,Prevotella sp900290275,FALSE,3.22E-108,107.4916795,-0.757699805,98.82686084,VANISH
GUT_GENOME014888.fna,0.247777778,6.94E-06,0.8,8.92E-06,0.63670412,8.43E-06,0.452830189,6.16E-06,0.012631579,2.94E-06,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900543975,Bacteroidota,Prevotella sp900543975,FALSE,6.87E-108,107.1629484,-0.787368421,98.78640777,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_B_9_1942.143.fa,0.059444444,7.60E-07,0.718518519,7.76E-07,0.397003745,7.65E-07,0.001715266,2.84E-07,0,,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__UMGS124;g__UMGS124;s__,Actinobacteriota,UMGS124 sp.,FALSE,1.57E-107,106.8038649,-0.718518519,98.72572816,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_2_1112.453.fa,0.058888889,1.64E-06,0.718518519,1.72E-06,0.382022472,1.67E-06,0.006861063,1.03E-06,0,,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__UMGS1773;s__,Actinobacteriota,UMGS1773 sp.,TRUE,1.57E-107,106.8038649,-0.718518519,98.72572816,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_I_4_2616.40.fa,0.137777778,1.47E-06,0.725925926,1.89E-06,0.460674157,1.78E-06,0.212692967,1.09E-06,0.001052632,1.19E-05,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900553595,Bacteroidota,Prevotella sp900553595,FALSE,5.76E-107,106.2396258,-0.724873294,98.66504854,VANISH
GUT_GENOME128888.fna,0.147222222,4.69E-06,0.733333333,5.37E-06,0.464419476,5.31E-06,0.23670669,4.22E-06,0.003157895,3.81E-07,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Anaerovibrio;s__Anaerovibrio sp900548165,Firmicutes_C,Anaerovibrio sp900548165,FALSE,3.48E-105,104.4581987,-0.730175439,98.62459547,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_10_1531.180.fa,0.091111111,2.01E-06,0.785185185,2.74E-06,0.426966292,2.58E-06,0.065180103,7.40E-07,0.012631579,5.69E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__,Firmicutes_A,Dorea sp.,TRUE,6.40E-105,104.1938917,-0.772553606,98.58414239,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_D_9_CHE0010BZ.70.fa,0.322222222,2.78E-05,0.844444444,1.77E-05,0.797752809,2.50E-05,0.581475129,3.06E-05,0.029473684,1.46E-05,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835,Proteobacteria,Succinivibrio sp000431835,FALSE,4.26E-104,103.3706811,-0.81497076,98.54368932,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_A_15_1703.123.fa,0.112777778,5.46E-06,0.77037037,6.75E-06,0.501872659,5.90E-06,0.101200686,3.99E-06,0.010526316,8.14E-06,d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira sp000431595,Spirochaetota,Brachyspira sp000431595,FALSE,5.49E-104,103.2602747,-0.759844055,98.50323625,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_I_4_2616.106.fa,0.215555556,1.50E-06,0.792592593,2.26E-06,0.640449438,2.12E-06,0.346483705,1.03E-06,0.015789474,7.28E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__CAG-110 sp900547405,Firmicutes_A,CAG-110 sp900547405,FALSE,1.27E-103,102.8966553,-0.776803119,98.46278317,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_1_1586.17.fa,0.116666667,1.48E-05,0.755555556,2.50E-05,0.524344569,1.95E-05,0.106346484,5.18E-06,0.008421053,5.55E-06,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp900544195,Bacteroidota,RC9 sp900544195,FALSE,3.17E-103,102.4988303,-0.747134503,98.4223301,VANISH
GUT_GENOME270564.fna,0.257222222,4.91E-06,0.851851852,8.90E-06,0.625468165,6.84E-06,0.452830189,3.82E-06,0.033684211,3.84E-06,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002251385,Bacteroidota,Prevotella sp002251385,FALSE,5.62E-103,102.2501031,-0.818167641,98.38187702,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_22_1166.69.fa,0.084444444,1.44E-06,0.703703704,1.77E-06,0.456928839,1.56E-06,0.04974271,9.65E-07,0.001052632,9.82E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__,Firmicutes_A,Faecalibacterium sp.,TRUE,9.09E-103,102.041608,-0.702651072,98.34142395,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_B_17_2661.151.fa,0.125555556,8.19E-07,0.733333333,1.14E-06,0.509363296,9.94E-07,0.145797599,5.46E-07,0.005263158,7.02E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__,Firmicutes_A,Faecalibacterium sp.,TRUE,1.73E-102,101.76145,-0.728070175,98.30097087,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_6_1152.340.fa,0.11,9.83E-06,0.688888889,1.38E-05,0.43071161,1.23E-05,0.142367067,6.39E-06,0,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__,Bacteroidota,Prevotella sp.,TRUE,5.63E-102,101.2496059,-0.688888889,98.2605178,VANISH
GUT_GENOME271908.fna,0.285,1.24E-05,0.822222222,1.19E-05,0.685393258,1.01E-05,0.521440823,1.38E-05,0.027368421,1.18E-05,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002265625,Bacteroidota,Prevotella sp002265625,FALSE,6.32E-101,100.1990585,-0.794853801,98.22006472,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_F_18_2239.206.fa,0.11,6.76E-06,0.688888889,7.33E-06,0.445692884,7.11E-06,0.133790738,6.28E-06,0.001052632,1.13E-06,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__,Bacteroidota,Prevotella sp.,FALSE,5.07E-100,99.29506187,-0.687836257,98.17961165,VANISH
GUT_GENOME014819.fna,0.163888889,3.86E-06,0.82962963,5.99E-06,0.535580524,5.21E-06,0.20754717,2.32E-06,0.032631579,3.62E-06,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-510;s__CAG-510 sp000434615,Firmicutes_A,CAG-510 sp000434615,FALSE,4.77E-99,98.32155072,-0.796998051,98.13915858,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_24_1660.367.fa,0.088888889,1.59E-06,0.681481481,2.04E-06,0.456928839,1.76E-06,0.063464837,1.01E-06,0.001052632,1.34E-06,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__,Firmicutes_A,Faecalibacterium sp.,TRUE,1.16E-98,97.93665645,-0.68042885,98.0987055,VANISH
GUT_GENOME126659.fna,0.343333333,1.02E-05,0.911111111,1.33E-05,0.707865169,1.13E-05,0.626072041,1.01E-05,0.067368421,7.39E-06,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900544825,Bacteroidota,Prevotella sp900544825,FALSE,1.34E-98,97.87448645,-0.84374269,98.05825243,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_F_16_2233.225.fa,0.090555556,2.23E-06,0.681481481,3.12E-06,0.453183521,2.66E-06,0.068610635,1.01E-06,0.002105263,5.38E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900548765,Firmicutes_A,Agathobacter sp900548765,FALSE,5.20E-97,96.28359219,-0.679376218,98.01779935,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_I_19_2477.316.fa,0.125,1.99E-05,0.659259259,3.29E-05,0.528089888,2.38E-05,0.144082333,1.35E-05,0,,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D succinifaciens,Spirochaetota,Treponema_D succinifaciens,FALSE,1.41E-96,95.85207929,-0.659259259,97.97734628,VANISH
GUT_GENOME019335.fna,0.321666667,1.79E-05,0.822222222,2.69E-05,0.74906367,1.97E-05,0.59348199,1.76E-05,0.034736842,1.08E-05,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900546535,Bacteroidota,Prevotella sp900546535,FALSE,2.72E-96,95.56536891,-0.78748538,97.9368932,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_K_14_2624.295.fa,0.081111111,1.24E-06,0.666666667,1.39E-06,0.419475655,1.28E-06,0.056603774,1.12E-06,0.001052632,3.16E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__,Firmicutes_A,CAG-110 sp.,FALSE,5.64E-96,95.24841288,-0.665614035,97.89644013,VANISH
GUT_GENOME042389.fna,0.173888889,3.29E-06,0.725925926,4.19E-06,0.509363296,3.40E-06,0.2864494,3.34E-06,0.010526316,8.80E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp900545495,Firmicutes_A,CAG-83 sp900545495,FALSE,1.60E-95,94.79585565,-0.71539961,97.85598706,VANISH
GUT_GENOME232404.fna,0.195,1.93E-06,0.740740741,2.64E-06,0.595505618,2.33E-06,0.30703259,1.66E-06,0.013684211,8.38E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__CAG-110 sp900544945,Firmicutes_A,CAG-110 sp900544945,FALSE,1.99E-95,94.70172751,-0.72705653,97.81553398,VANISH
