Genome,Kingdom,Phylum,Class,Order,Family,Genus,Species
GUT_GENOME000521.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Rikenellaceae                          ,Alistipes                              ,Alistipes shahii                       
GUT_GENOME000534.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Peptostreptococcales                   ,Peptostreptococcaceae                  ,Terrisporobacter                       ,                                       
GUT_GENOME000535.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Streptococcaceae                       ,Streptococcus                          ,Streptococcus anginosus                
GUT_GENOME000545.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Clostridiales                          ,Clostridiaceae                         ,Clostridium                            ,Clostridium cuniculi                   
GUT_GENOME000550.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Lactobacillaceae                       ,Pediococcus                            ,Pediococcus acidilactici               
GUT_GENOME000554.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Bacteroides                            ,Bacteroides clarus                     
GUT_GENOME000558.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Enterococcaceae                        ,Enterococcus_D                         ,Enterococcus_D gallinarum              
GUT_GENOME000559.fna,Bacteria                               ,Proteobacteria                         ,Gammaproteobacteria                    ,Enterobacterales                       ,Enterobacteriaceae                     ,Klebsiella_A                           ,Klebsiella_A oxytoca                   
GUT_GENOME000563.fna,Bacteria                               ,Proteobacteria                         ,Gammaproteobacteria                    ,Enterobacterales                       ,Enterobacteriaceae                     ,Citrobacter                            ,Citrobacter freundii                   
GUT_GENOME000564.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Streptococcaceae                       ,Streptococcus                          ,Streptococcus sp004166885              
GUT_GENOME000572.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Streptococcaceae                       ,Streptococcus                          ,                                       
GUT_GENOME000583.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia                                ,Blautia sp000432195                    
GUT_GENOME000591.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Rikenellaceae                          ,Alistipes_A                            ,Alistipes_A indistinctus               
GUT_GENOME000595.fna,Bacteria                               ,Proteobacteria                         ,Gammaproteobacteria                    ,Enterobacterales                       ,Enterobacteriaceae                     ,Citrobacter                            ,Citrobacter youngae                    
GUT_GENOME000603.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Peptostreptococcales                   ,Anaerovoracaceae                       ,                                       ,                                       
GUT_GENOME000604.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,UBA7096                                ,                                       
GUT_GENOME000609.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Acutalibacteraceae                     ,Marseille-P4683                        ,Marseille-P4683 sp900232885            
GUT_GENOME000612.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Ruminococcaceae                        ,Anaerotruncus                          ,Anaerotruncus rubiinfantis             
GUT_GENOME000623.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia_A                              ,Blautia_A sp000433815                  
GUT_GENOME000634.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,UBA7160                                ,                                       
GUT_GENOME000659.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,UMGS1375                               ,UMGS1375 sp900066615                   
GUT_GENOME000662.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,UBA7182                                ,UBA7182 sp003480725                    
GUT_GENOME000676.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia_A                              ,Blautia_A massiliensis                 
GUT_GENOME000677.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Haloplasmatales                        ,Turicibacteraceae                      ,Turicibacter                           ,Turicibacter sanguinis                 
GUT_GENOME000692.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,CAG-81                                 ,CAG-81 sp900066535                     
GUT_GENOME000701.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia_A                              ,Blautia_A sp900066165                  
GUT_GENOME000718.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Faecalimonas                           ,Faecalimonas nexilis                   
GUT_GENOME000724.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Clostridiales                          ,Clostridiaceae                         ,Clostridium                            ,Clostridium saudiense                  
GUT_GENOME000725.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Hungatella                             ,Hungatella sp005845265                 
GUT_GENOME000753.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Coriobacteriaceae                      ,Collinsella                            ,Collinsella sp002232035                
GUT_GENOME000760.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Peptostreptococcales                   ,Peptostreptococcaceae                  ,Paeniclostridium                       ,Paeniclostridium sordellii             
GUT_GENOME000767.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Sellimonas                             ,Sellimonas intestinalis                
GUT_GENOME000784.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Enterococcaceae                        ,Enterococcus_B                         ,Enterococcus_B durans                  
GUT_GENOME000807.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia_A                              ,Blautia_A sp003471165                  
GUT_GENOME000818.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Mediterraneibacter_A                   ,Mediterraneibacter_A butyricigenes     
GUT_GENOME000838.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Barnesiellaceae                        ,Barnesiella                            ,Barnesiella intestinihominis           
GUT_GENOME000862.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Lactobacillaceae                       ,Limosilactobacillus                    ,Limosilactobacillus fermentum          
GUT_GENOME000889.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Eubacterium_G                          ,Eubacterium_G sp000432355              
GUT_GENOME000906.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia_A                              ,Blautia_A sp900120195                  
GUT_GENOME000931.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Enterocloster                          ,Enterocloster lavalensis               
GUT_GENOME000941.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Erysipelotrichales                     ,Erysipelotrichaceae                    ,Bulleidia                              ,Bulleidia moorei                       
GUT_GENOME000944.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Tannerellaceae                         ,Parabacteroides                        ,Parabacteroides sp003479145            
GUT_GENOME000962.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Muricomes                              ,Muricomes sp000509105                  
GUT_GENOME000967.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Anaerotignaceae                        ,Anaerotignum                           ,Anaerotignum sp000436415               
GUT_GENOME000977.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Coprococcus                            ,Coprococcus eutactus_A                 
GUT_GENOME000979.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Oscillospiraceae                       ,Lawsonibacter                          ,Lawsonibacter sp003478995              
GUT_GENOME000980.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Enterocloster                          ,Enterocloster aldenensis               
GUT_GENOME000994.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,UBA9414                                ,UBA9414 sp003458885                    
GUT_GENOME000996.fna,Bacteria                               ,Firmicutes_C                           ,Negativicutes                          ,Selenomonadales                        ,Selenomonadaceae                       ,Mitsuokella                            ,Mitsuokella sp003458855                
GUT_GENOME001004.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia_A                              ,Blautia_A sp003478765                  
GUT_GENOME001026.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Coriobacteriaceae                      ,Collinsella                            ,Collinsella sp003462685                
GUT_GENOME001027.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Coprococcus                            ,Coprococcus sp900066115                
GUT_GENOME001046.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Erysipelotrichales                     ,Erysipelotrichaceae                    ,Holdemania                             ,Holdemania filiformis                  
GUT_GENOME001052.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Dorea                                  ,Dorea sp000433215                      
GUT_GENOME001092.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Bacteroides                            ,Bacteroides sp003463205                
GUT_GENOME001115.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Ruminococcaceae                        ,Faecalibacterium                       ,Faecalibacterium prausnitzii_E         
GUT_GENOME001120.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Bacteroides                            ,Bacteroides thetaiotaomicron           
GUT_GENOME001135.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Enterocloster                          ,Enterocloster citroniae                
GUT_GENOME001139.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Streptococcaceae                       ,Streptococcus                          ,Streptococcus parasanguinis_B          
GUT_GENOME001151.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Enterocloster                          ,Enterocloster bolteae                  
GUT_GENOME001159.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia_A                              ,Blautia_A sp900066145                  
GUT_GENOME001177.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,AF33-28                                ,AF33-28 sp003477885                    
GUT_GENOME001189.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Marinifilaceae                         ,Butyricimonas                          ,Butyricimonas virosa                   
GUT_GENOME001213.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Dorea                                  ,Dorea sp900066555                      
GUT_GENOME001227.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Eubacterium_G                          ,Eubacterium_G sp000435815              
GUT_GENOME001239.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Eubacterium_G                          ,Eubacterium_G ventriosum               
GUT_GENOME001255.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Bacteroides                            ,Bacteroides sp900556215                
GUT_GENOME001261.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia_A                              ,Blautia_A obeum                        
GUT_GENOME001270.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia_A                              ,Blautia_A sp003477525                  
GUT_GENOME001314.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Erysipelotrichales                     ,Erysipelotrichaceae                    ,Longicatena                            ,Longicatena caecimuris                 
GUT_GENOME001315.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Butyricicoccaceae                      ,AM07-15                                ,AM07-15 sp003477405                    
GUT_GENOME001316.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Tannerellaceae                         ,Parabacteroides                        ,Parabacteroides bouchesdurhonensis     
GUT_GENOME001324.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Tannerellaceae                         ,Parabacteroides                        ,Parabacteroides sp003473295            
GUT_GENOME001340.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Erysipelotrichales                     ,Erysipelotrichaceae                    ,Longicatena                            ,Longicatena sp003433845                
GUT_GENOME001341.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Bacteroides                            ,Bacteroides sp003545565                
GUT_GENOME001396.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Phocaeicola                            ,Phocaeicola massiliensis               
GUT_GENOME001401.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,CAG-81                                 ,CAG-81 sp900066785                     
GUT_GENOME001416.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Vagococcaceae                          ,Vagococcus                             ,Vagococcus teuberi                     
GUT_GENOME001418.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Bacteroides                            ,Bacteroides fragilis_A                 
GUT_GENOME001422.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Enterococcaceae                        ,Enterococcus_D                         ,Enterococcus_D casseliflavus           
GUT_GENOME001423.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Erysipelotrichales                     ,Erysipelatoclostridiaceae              ,Erysipelatoclostridium                 ,Erysipelatoclostridium sp000752095     
GUT_GENOME001424.fna,Bacteria                               ,Proteobacteria                         ,Gammaproteobacteria                    ,Enterobacterales                       ,Enterobacteriaceae                     ,Citrobacter                            ,Citrobacter portucalensis              
GUT_GENOME001438.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Bacteroides                            ,Bacteroides eggerthii                  
GUT_GENOME001507.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Ruminococcaceae                        ,Ruthenibacterium                       ,Ruthenibacterium lactatiformans        
GUT_GENOME001519.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Streptococcaceae                       ,Streptococcus                          ,Streptococcus pasteurianus             
GUT_GENOME001575.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Mediterraneibacter                     ,Mediterraneibacter faecis              
GUT_GENOME001578.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,TF01-11                                ,TF01-11 sp001414325                    
GUT_GENOME001586.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Streptococcaceae                       ,Streptococcus                          ,Streptococcus gordonii                 
GUT_GENOME001598.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia_A                              ,Blautia_A obeum_B                      
GUT_GENOME001635.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Marinifilaceae                         ,Odoribacter                            ,Odoribacter splanchnicus               
GUT_GENOME001636.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,CAG-81                                 ,CAG-81 sp900066055                     
GUT_GENOME001677.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,UBA9502                                ,UBA9502 sp003480315                    
GUT_GENOME001734.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Bacteroides                            ,Bacteroides uniformis                  
GUT_GENOME001745.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Bacteroides                            ,Bacteroides nordii                     
GUT_GENOME001751.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia_A                              ,Blautia_A sp900066335                  
GUT_GENOME001757.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Schaedlerella                          ,Schaedlerella sp900066545              
GUT_GENOME001760.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Ruminococcaceae                        ,Faecalibacterium                       ,Faecalibacterium prausnitzii_C         
GUT_GENOME001768.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Erysipelotrichales                     ,Erysipelatoclostridiaceae              ,Erysipelatoclostridium                 ,Erysipelatoclostridium sp003480255     
GUT_GENOME001777.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,CAG-127                                ,CAG-127 sp900319515                    
